종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"046070","코다코","KOSDAQ","운송장비·부품","10280","0","0.00","146172317160"
"047770","코데즈컴바인","KOSDAQ","섬유·의류","1443","-68","-4.50","54606874686"
"080530","코디","KOSDAQ","화학","1200","-18","-1.48","51960512400"
"104540","코렌텍","KOSDAQ","의료·정밀기기","5250","-80","-1.50","67125135000"
"027050","코리아나","KOSDAQ","화학","2290","-85","-3.58","91600000000"
"190650","코리아에셋투자증권","KOSDAQ","금융","5420","-230","-4.07","34622960000"
"123410","코리아에프티","KOSDAQ","운송장비·부품","4935","-215","-4.17","137395650840"
"036690","코맥스","KOSDAQ","일반전기전자","2885","0","0.00","45885746130"
"049430","코메론","KOSDAQ","의료·정밀기기","9730","-220","-2.21","88037040000"
"183300","코미코","KOSDAQ","기계·장비","36500","-800","-2.14","381814966000"
"041960","코미팜","KOSDAQ","제약","4010","-150","-3.61","283195154330"
"089890","코세스","KOSDAQ","기계·장비","7000","-170","-2.37","116094734000"
"360350","코셈","KOSDAQ","의료·정밀기기","7870","-330","-4.02","44638403900"
"082660","코스나인","KOSDAQ","화학","480","0","0.00","47827617120"
"222040","코스맥스엔비티","KOSDAQ","음식료·담배","3275","-75","-2.24","67556700000"
"241710","코스메카코리아","KOSDAQ","화학","50300","-1600","-3.08","537204000000"
"355150","코스텍시스","KOSDAQ","일반전기전자","4950","-390","-7.30","38596882500"
"166480","코아스템켐온","KOSDAQ","제약","11170","-30","-0.27","367162099920"
"045970","코아시아","KOSDAQ","일반전기전자","3765","-190","-4.80","99075508140"
"196450","코아시아씨엠","KOSDAQ","의료·정밀기기","833","-25","-2.91","37751211806"
"384470","코어라인소프트","KOSDAQ","출판·매체복제","7990","-400","-4.77","102528191360"
"029960","코엔텍","KOSDAQ","전기·가스·수도","8870","-10","-0.11","443500000000"
"102940","코오롱생명과학","KOSDAQ","제약","18870","590","3.23","234429312690"
"950160","코오롱티슈진","KOSDAQ","제약","17550","770","4.59","1394635495500"
"033290","코웰패션","KOSDAQ","유통","2010","-80","-3.83","112874165010"
"056360","코위버","KOSDAQ","일반전기전자","4520","-35","-0.77","44281536000"
